ABC,Water,Gluten%,SV ml,Moisture,Slot
4,9,10.51,25,12.86,1
4,9,10.51,25,12.86,1
4,9,10.51,25,12.86,1
4,9,10.51,25,12.86,1
4,9,10.51,25,12.86,1
4,9,10.51,25,12.86,0
4,9,10.51,25,12.86,0
4,9,10.51,25,12.86,0
4,9,10.51,25,12.86,0
4,9,10.51,25,12.86,0
4,9,10.51,25,12.86,0
4,9,10.51,25,12.86,0
3.8,11,10.51,25,12.86,1
3.8,11,10.51,25,12.86,1
3.8,11,10.51,25,12.86,1
3.8,11,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,12,10.51,25,12.86,2
3.5,11,10.51,25,12.86,1
3.5,11,10.51,25,12.86,1
3.5,11,10.51,25,12.86,1
3.5,11,10.51,25,12.86,1
3.5,11,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
3.5,12,10.51,25,12.86,0
