,ABC,Water,Gluten%,SV ml,Moisture,Slot
402,6.4,16.0,11.48,27.0,12.98,3.0
403,6.4,16.0,11.48,27.0,12.98,3.0
404,6.4,16.0,11.48,27.0,12.98,3.0
405,6.4,16.0,11.48,27.0,12.98,3.0
406,6.4,16.0,11.48,27.0,12.98,3.0
407,6.4,16.0,11.48,27.0,12.98,3.0
408,6.4,16.0,11.48,27.0,12.98,3.0
409,6.4,16.0,11.48,27.0,12.98,3.0
410,6.4,16.0,11.48,27.0,12.98,3.0
411,6.4,16.0,11.48,27.0,12.98,3.0
412,6.4,16.0,11.48,27.0,12.98,3.0
413,6.4,16.0,11.48,27.0,12.98,3.0
414,6.4,16.0,11.48,27.0,12.98,3.0
415,6.4,16.0,11.48,27.0,12.98,3.0
416,6.4,16.0,11.48,27.0,12.98,3.0
417,7.5,20.0,11.22,28.0,12.81,2.0
418,7.5,20.0,11.22,28.0,12.81,2.0
419,7.5,20.0,11.22,28.0,12.81,2.0
420,7.5,20.0,11.22,28.0,12.81,2.0
421,7.5,20.0,11.22,28.0,12.81,2.0
422,7.5,20.0,11.22,28.0,12.81,2.0
423,7.5,20.0,11.22,28.0,12.81,2.0
424,7.5,20.0,11.22,28.0,12.81,2.0
425,7.5,20.0,11.22,28.0,12.81,2.0
426,7.5,20.0,11.22,28.0,12.81,2.0
427,7.5,20.0,11.22,28.0,12.81,2.0
428,7.5,20.0,11.22,28.0,12.81,2.0
429,7.5,20.0,11.22,28.0,12.81,1.0
430,7.5,20.0,11.22,28.0,12.81,1.0
431,7.5,20.0,11.22,28.0,12.81,1.0
432,7.5,20.0,11.22,28.0,12.81,1.0
433,7.5,20.0,11.22,28.0,12.81,1.0
434,7.5,20.0,11.22,28.0,12.81,1.0
435,7.5,20.0,11.22,28.0,12.81,1.0
436,7.5,20.0,11.22,28.0,12.81,1.0
437,7.5,20.0,11.22,28.0,12.81,1.0
438,7.5,20.0,11.22,28.0,12.81,1.0
439,6.5,16.0,11.22,28.0,12.81,3.0
440,6.5,16.0,11.22,28.0,12.81,3.0
441,6.5,16.0,11.22,28.0,12.81,3.0
442,6.5,16.0,11.22,28.0,12.81,3.0
443,6.5,16.0,11.22,28.0,12.81,3.0
444,6.5,16.0,11.22,28.0,12.81,3.0
445,6.5,16.0,11.22,28.0,12.81,3.0
446,6.5,16.0,11.22,28.0,12.81,3.0
447,6.5,16.0,11.22,28.0,12.81,3.0
448,6.5,16.0,11.22,28.0,12.81,3.0
449,6.8,16.0,11.22,28.0,12.81,3.0
450,6.8,16.0,11.22,28.0,12.81,3.0
451,6.8,16.0,11.22,28.0,12.81,3.0
452,6.8,16.0,11.22,28.0,12.81,3.0
453,6.8,16.0,11.22,28.0,12.81,3.0
454,6.8,16.0,11.22,28.0,12.81,3.0
455,6.8,16.0,11.22,28.0,12.81,3.0
456,6.8,16.0,11.22,28.0,12.81,3.0
457,6.8,16.0,11.22,28.0,12.81,3.0
458,6.8,16.0,11.22,28.0,12.81,3.0
459,6.8,15.0,11.22,28.0,12.81,2.0
460,6.8,15.0,11.22,28.0,12.81,2.0
461,6.8,15.0,11.22,28.0,12.81,2.0
462,6.8,15.0,11.22,28.0,12.81,2.0
463,6.8,15.0,11.22,28.0,12.81,2.0
464,6.8,15.0,11.22,28.0,12.81,2.0
465,6.8,15.0,11.22,28.0,12.81,2.0
466,6.8,15.0,11.22,28.0,12.81,2.0
467,6.8,15.0,11.22,28.0,12.81,2.0
468,6.8,15.0,11.22,28.0,12.81,2.0
469,6.8,15.0,11.22,28.0,12.81,2.0
470,6.8,15.0,11.22,28.0,12.81,2.0
471,6.8,15.0,11.22,28.0,12.81,1.0
472,6.8,15.0,11.22,28.0,12.81,1.0
473,6.8,15.0,11.22,28.0,12.81,1.0
474,6.8,15.0,11.22,28.0,12.81,1.0
475,6.8,15.0,11.22,28.0,12.81,1.0
476,6.8,15.0,11.22,28.0,12.81,1.0
477,6.8,15.0,11.22,28.0,12.81,1.0
478,6.8,15.0,11.22,28.0,12.81,1.0
479,6.8,15.0,11.22,28.0,12.81,1.0
480,6.8,15.0,11.22,28.0,12.81,1.0
481,6.8,15.0,11.22,28.0,12.81,1.0
482,5.7,16.0,11.22,28.0,12.81,3.0
483,5.7,16.0,11.22,28.0,12.81,3.0
484,5.7,16.0,11.22,28.0,12.81,3.0
485,5.7,16.0,11.22,28.0,12.81,3.0
486,5.7,16.0,11.22,28.0,12.81,3.0
487,5.7,16.0,11.22,28.0,12.81,3.0
488,5.7,16.0,11.22,28.0,12.81,3.0
489,5.7,16.0,11.22,28.0,12.81,3.0
490,5.7,16.0,11.22,28.0,12.81,3.0
491,5.7,16.0,11.22,28.0,12.81,3.0
492,5.7,16.0,11.22,28.0,12.81,3.0
493,5.7,16.0,11.22,28.0,12.81,3.0
494,5.7,16.0,11.22,28.0,12.81,3.0
495,5.7,16.0,11.22,28.0,12.81,3.0
496,5.7,16.0,11.22,28.0,12.81,3.0
497,5.7,16.0,11.22,28.0,12.81,3.0
498,5.7,16.0,11.22,28.0,12.81,3.0
499,5.7,16.0,11.22,28.0,12.81,3.0
500,5.7,16.0,11.22,28.0,12.81,3.0
501,5.7,16.0,11.22,28.0,12.81,3.0
502,5.7,16.0,11.22,28.0,12.81,3.0
503,5.7,16.0,11.22,28.0,12.81,3.0
504,5.7,16.0,11.22,28.0,12.81,2.0
505,5.7,16.0,11.22,28.0,12.81,2.0
506,5.7,16.0,11.22,28.0,12.81,2.0
507,5.7,16.0,11.22,28.0,12.81,2.0
508,5.7,16.0,11.22,28.0,12.81,2.0
509,5.7,16.0,11.22,28.0,12.81,2.0
510,5.7,16.0,11.22,28.0,12.81,2.0
511,5.7,16.0,11.22,28.0,12.81,2.0
512,5.7,16.0,11.22,28.0,12.81,2.0
513,5.3,16.0,11.22,28.0,12.81,2.0
514,5.3,16.0,11.22,28.0,12.81,2.0
515,5.3,16.0,11.22,28.0,12.81,2.0
516,5.3,16.0,11.22,28.0,12.81,2.0
517,5.8,16.0,11.22,28.0,12.81,1.0
518,5.8,16.0,11.22,28.0,12.81,1.0
519,5.8,16.0,11.22,28.0,12.81,1.0
520,5.9,16.0,11.22,28.0,12.81,1.0
521,5.9,16.0,11.22,28.0,12.81,1.0
522,5.9,16.0,11.22,28.0,12.81,1.0
523,5.9,16.0,11.22,28.0,12.81,1.0
524,6.0,16.0,11.22,28.0,12.81,1.0
525,6.0,16.0,11.22,28.0,12.81,1.0
526,5.7,16.0,11.22,28.0,12.81,1.0
527,5.7,16.0,11.22,28.0,12.81,1.0
528,5.7,16.0,11.22,28.0,12.81,1.0
529,5.7,18.0,11.22,28.0,12.81,3.0
530,5.7,18.0,11.22,28.0,12.81,3.0
531,5.7,18.0,11.22,28.0,12.81,3.0
532,5.7,18.0,11.22,28.0,12.81,3.0
